description,claimType
A domestic burglary including 2 cars taken. Offenders have smashed rear patio door glass and gained access to house. They have ransacked every room in the house taking numerous items including Mercedes from drive. They have also take. Spare key for our other car (Audi) and somehow located us at the local Tesco. They have subsequently taken the Audi from a parked bay. (Both cars have now been recovered pending forensic examination.),BURGLARY
the diamond came out of my engagement ring when I reached across my son when a car ran into the side of us and I can't find it anywhere - have searched the entire car and the road and pavement nearby too.,ADSPECIFIED
"There has been a leak in our newly fitted kitchen and has ruined our newly fitted laminate flooring, plinths and underfloor heating. Also I would like to claim for my Tv that has been broken in the house move and now will not turn on but makes a buzzing sound",ESCAPEWATER
"I was maintaining the bike (NS Snabb) , while using the bike stand it failed and caused the bike to fall which has damaged the frame/forks in such a way it is deemed unsafe to use again",ADSPECIFIED
Leaking pipes in bathroom think it's coming from pipes under bath where taps are,ESCAPEWATER
Came home from holiday and we have had a water leak from upstairs shower,ESCAPEWATER
theft of a mobile phone,THEFTSPECIFIED
Leak on water inlet pipe,ESCAPEWATER
Painting and decorating the house. Whilst painting one of the bedrooms an accident occurred and paint has spilt into the boiler.  We immediately called an engineer out to look at the boiler. The engineer has confirmed that the boiler is broken beyond repair due to the paint damage inside.  The engineer has issued a warning sticker on the front of our boiler and has turned the boiler off.  We now have no hot water nor any heating in the house due to this accidental damage.  Please can someone contact us as it is difficult to live without hot water and especially heating in the house.  Thank you in advance,ADBUILDINGS
my youngest child squirted water at my OLED 55inch TV and the screen is now broken,ADCONTENTS
I have dropped my phone in water and it is unrepairable as the water has affected the motherboard. I have taken it to a phone repair shop and unfortunately it can't be repaired.,ADCONTENTS
Burn to the dining room carpet,ADCONTENTS
Unintential water damage. My 2 year old daughter left a tap running in my ensuite bathroom. I did not realise this until I was down stairs some time later and water started running down through the ceiling and the walls. I have had a certified electrician call out to make my lights safe and holes have been burst in my livingroom ceiling to allow the water to escape.,ADBUILDINGS
I have lost my mobile phone,ADSPECIFIED
"Was connecting to TV/Monitor and knocked it over, cracking the screen",ADCONTENTS
"some electrical appliances including Boiler and heating is not working after the RCD controlled circuit tripped. It is not allowing me to put it on again, even after I switched off quite a few appliances. Need urgent help from a professional electrician to look at it. Note that we don't have hot water , neither is the cooker working to cook food",WIRINGFAULT
a water maintenance worker identified a leak in our pipe because the meter was running when nothing was on,ESCAPEWATER
Water leaking from below home,ESCAPEWATER
leak in floor and ceiling,ESCAPEWATER
My TV has cracked at the top therefore damaged the screen,ADCONTENTS
The main drain is backing up so when any liquid is poured down all other drains and the toilet bubble back up. We have used a number of drain unblocking solutions but the problem is no better.,BLOCKEDDRAINS
"We have rain water coming through our roof through the walls and coming out of our living room lights, also a leak in outside porch",STORM
House was broken into,BURGLARY
i have found water damage to my parkhome.,OTHER
We’ve noticed water appearing behind base of pedestal sink from behind the wall.,ESCAPEWATER
Flood damaged house.,FLOOD
"our caravan burnt down and we lost everything in it including a suitcase containing a Gucci watch, and a Pandora bracelet.",FIRE
Apparent structural damage,SUBSIDENCE
Water came through bedroom ceiling after the heavy storms at the weekend. We have just returned home and found the damage and think it must have happened on Sunday. There is a water stain on the ceiling and water had come through the light fitting. I can’t see the roof to see if tiles have been lost.,STORM
Theft of sporting equipment from the boot of my car,THEFTSPECIFIED
Water damage to ground floor,ESCAPEWATER
A leak in my upstairs and downstairs bathroom,ESCAPEWATER
My husband was tried to fix the handle on the window which had fallen off in our front room and put a screw through which was too long and shattered the glass.,ADBUILDINGS
leakage from bath down into living area below.  Damage to ceiling - plaster crack and staining - and water damage to sofa underneath the crack,ESCAPEWATER
Whilst replacing my bathroom the builders have uncovered a rotting joist,ESCAPEWATER
collapse of a shelf in the cupboard,ADBUILDINGS
scorch mark on a bedroom carpet,ADCONTENTS
"we have had an escape of water in our kitchen, which we believe to have been caused by water leaking out of our washing machine. The machine was installed approx 18 months by the supplier and clearly this was not done properly. The continual escape of water over such a long time has caused extensive damage to the floor, wall and units all around the area. We have documents showing that we paid for the installation, which we are happy to pass on to you.",ESCAPEWATER
"A signed appointment form is enclosed to confirm the Insured’s request for us to act as Claim Consultants. An escape of water from the waste trap of the bath within the Ground floor bathroom has caused damage to the bathroom floor. The water has spread to the kitchen and affected the floor and lower wall plaster on the adjoining wall.  All Affected areas will need stripped out and dried before permanent repairs and redecoration can be undertaken.   The damage is bad and in my opinion, a Loss Adjuster should be appointed URGENTLY.  Please ask the Adjuster to contact the writer on 07801424275  Many thanks in anticipation of your assistance.",ESCAPEWATER
